Configuration,Feed,Composition
Config_0,HSO,2.25
Config_0,HSW,0.17
Config_0,LSO,6.18
Config_0,LSW,54.23
Config_0,MSO,33.12
Config_0,MSW,4.05
Config_1,HSO,7.93
Config_1,HSW,0.55
Config_1,LSO,5.31
Config_1,LSW,39.99
Config_1,MSO,40.64
Config_1,MSW,5.58
Config_10,HSO,1.56
Config_10,HSW,0.14
Config_10,LSO,7.66
Config_10,LSW,26.41
Config_10,MSO,57.95
Config_10,MSW,6.28
Config_11,HSO,6.5
Config_11,HSW,0.77
Config_11,LSO,7.58
Config_11,LSW,37.37
Config_11,MSO,39.68
Config_11,MSW,8.1
Config_12,HSO,7.46
Config_12,HSW,0
Config_12,LSO,0
Config_12,LSW,92.54
Config_12,MSO,0
Config_12,MSW,0
Config_13,HSO,0
Config_13,HSW,0
Config_13,LSO,0
Config_13,LSW,44.38
Config_13,MSO,0
Config_13,MSW,55.62
Config_14,HSO,32.71
Config_14,HSW,0
Config_14,LSO,16.4
Config_14,LSW,2.7
Config_14,MSO,48.19
Config_14,MSW,0
Config_15,HSO,13.38
Config_15,HSW,0.62
Config_15,LSO,2.99
Config_15,LSW,18.18
Config_15,MSO,57.22
Config_15,MSW,7.6
Config_16,HSO,0.93
Config_16,HSW,1.46
Config_16,LSO,22.37
Config_16,LSW,17.83
Config_16,MSO,51.64
Config_16,MSW,5.77
Config_17,HSO,13.58
Config_17,HSW,2.65
Config_17,LSO,13.62
Config_17,LSW,21.75
Config_17,MSO,19.7
Config_17,MSW,28.7
Config_18,HSO,2.62
Config_18,HSW,0.67
Config_18,LSO,6.86
Config_18,LSW,30.36
Config_18,MSO,52.66
Config_18,MSW,6.82
Config_19,HSO,0
Config_19,HSW,0
Config_19,LSO,0
Config_19,LSW,0
Config_19,MSO,0
Config_19,MSW,0
Config_2,HSO,0.01
Config_2,HSW,1.24
Config_2,LSO,13.41
Config_2,LSW,23.46
Config_2,MSO,17.82
Config_2,MSW,44.07
Config_20,HSO,2.22
Config_20,HSW,2.29
Config_20,LSO,37.31
Config_20,LSW,3.38
Config_20,MSO,43.44
Config_20,MSW,11.36
Config_21,HSO,12.7
Config_21,HSW,2.62
Config_21,LSO,2.29
Config_21,LSW,24.91
Config_21,MSO,29.2
Config_21,MSW,28.29
Config_22,HSO,0
Config_22,HSW,0
Config_22,LSO,0
Config_22,LSW,0
Config_22,MSO,100
Config_22,MSW,0
Config_23,HSO,8.03
Config_23,HSW,0
Config_23,LSO,7.27
Config_23,LSW,26.03
Config_23,MSO,56.33
Config_23,MSW,2.34
Config_24,HSO,10.66
Config_24,HSW,0.63
Config_24,LSO,5.37
Config_24,LSW,11.88
Config_24,MSO,60.69
Config_24,MSW,10.77
Config_25,HSO,30.18
Config_25,HSW,1.97
Config_25,LSO,3.9
Config_25,LSW,21.56
Config_25,MSO,33.21
Config_25,MSW,9.17
Config_26,HSO,14.3
Config_26,HSW,0
Config_26,LSO,0
Config_26,LSW,19.21
Config_26,MSO,49.53
Config_26,MSW,16.96
Config_27,HSO,1.52
Config_27,HSW,2.49
Config_27,LSO,10.5
Config_27,LSW,26.98
Config_27,MSO,37.25
Config_27,MSW,21.26
Config_28,HSO,6.77
Config_28,HSW,0
Config_28,LSO,54.08
Config_28,LSW,17.69
Config_28,MSO,19.45
Config_28,MSW,2.01
Config_29,HSO,8.03
Config_29,HSW,3.02
Config_29,LSO,41.67
Config_29,LSW,1.3
Config_29,MSO,42.58
Config_29,MSW,3.39
Config_3,HSO,0
Config_3,HSW,0
Config_3,LSO,0
Config_3,LSW,53.26
Config_3,MSO,0.14
Config_3,MSW,46.6
Config_30,HSO,15.49
Config_30,HSW,3.07
Config_30,LSO,11.13
Config_30,LSW,11.71
Config_30,MSO,51.09
Config_30,MSW,7.5
Config_31,HSO,36.49
Config_31,HSW,0.33
Config_31,LSO,5.74
Config_31,LSW,18.23
Config_31,MSO,19.44
Config_31,MSW,19.77
Config_32,HSO,2.64
Config_32,HSW,0.44
Config_32,LSO,22.37
Config_32,LSW,22.69
Config_32,MSO,47.31
Config_32,MSW,4.54
Config_33,HSO,27.4
Config_33,HSW,2.88
Config_33,LSO,6.31
Config_33,LSW,20.91
Config_33,MSO,35.77
Config_33,MSW,6.75
Config_34,HSO,0.74
Config_34,HSW,0.38
Config_34,LSO,2.62
Config_34,LSW,47.64
Config_34,MSO,24.82
Config_34,MSW,23.8
Config_35,HSO,28.9
Config_35,HSW,0.94
Config_35,LSO,1.88
Config_35,LSW,21.03
Config_35,MSO,37.38
